water,carbonated_water,calpis_nomal
0,5,95
0,10,90
0,15,85
0,20,80
0,25,75
0,30,70
0,35,65
0,40,60
0,45,55
0,50,50
0,55,45
0,60,40
0,65,35
0,70,30
0,75,25
0,80,20
0,85,15
0,90,10
0,95,5
5,0,95
5,5,90
5,10,85
5,15,80
5,20,75
5,25,70
5,30,65
5,35,60
5,40,55
5,45,50
5,50,45
5,55,40
5,60,35
5,65,30
5,70,25
5,75,20
5,80,15
5,85,10
5,90,5
5,95,0
10,0,90
10,5,85
10,10,80
10,15,75
10,20,70
10,25,65
10,30,60
10,35,55
10,40,50
10,45,45
10,50,40
10,55,35
10,60,30
10,65,25
10,70,20
10,75,15
10,80,10
10,85,5
10,90,0
15,0,85
15,5,80
15,10,75
15,15,70
15,20,65
15,25,60
15,30,55
15,35,50
15,40,45
15,45,40
15,50,35
15,55,30
15,60,25
15,65,20
15,70,15
15,75,10
15,80,5
15,85,0
20,0,80
20,5,75
20,10,70
20,15,65
20,20,60
20,25,55
20,30,50
20,35,45
20,40,40
20,45,35
20,50,30
20,55,25
20,60,20
20,65,15
20,70,10
20,75,5
20,80,0
25,0,75
25,5,70
25,10,65
25,15,60
25,20,55
25,25,50
25,30,45
25,35,40
25,40,35
25,45,30
25,50,25
25,55,20
25,60,15
25,65,10
25,70,5
25,75,0
30,0,70
30,5,65
30,10,60
30,15,55
30,20,50
30,25,45
30,30,40
30,35,35
30,40,30
30,45,25
30,50,20
30,55,15
30,60,10
30,65,5
30,70,0
35,0,65
35,5,60
35,10,55
35,15,50
35,20,45
35,25,40
35,30,35
35,35,30
35,40,25
35,45,20
35,50,15
35,55,10
35,60,5
35,65,0
40,0,60
40,5,55
40,10,50
40,15,45
40,20,40
40,25,35
40,30,30
40,35,25
40,40,20
40,45,15
40,50,10
40,55,5
40,60,0
45,0,55
45,5,50
45,10,45
45,15,40
45,20,35
45,25,30
45,30,25
45,35,20
45,40,15
45,45,10
45,50,5
45,55,0
50,0,50
50,5,45
50,10,40
50,15,35
50,20,30
50,25,25
50,30,20
50,35,15
50,40,10
50,45,5
50,50,0
55,0,45
55,5,40
55,10,35
55,15,30
55,20,25
55,25,20
55,30,15
55,35,10
55,40,5
55,45,0
60,0,40
60,5,35
60,10,30
60,15,25
60,20,20
60,25,15
60,30,10
60,35,5
60,40,0
65,0,35
65,5,30
65,10,25
65,15,20
65,20,15
65,25,10
65,30,5
65,35,0
70,0,30
70,5,25
70,10,20
70,15,15
70,20,10
70,25,5
70,30,0
75,0,25
75,5,20
75,10,15
75,15,10
75,20,5
75,25,0
80,0,20
80,5,15
80,10,10
80,15,5
80,20,0
85,0,15
85,5,10
85,10,5
85,15,0
90,0,10
90,5,5
90,10,0
95,0,5
95,5,0
100,0,0
0,100,0
0,0,100
